sample_id	bam_filename	include
001P	1_A01_bc2043_001P.bam	true
002P	1_A01_bc2044_002P.bam	true
004P	1_C01_bc2046_004P.bam	true
005P	1_A01_bc2047_005P.bam	true
006P	1_B01_bc2048_006P.bam	true
007P	1_C01_bc2049_007P.bam	true
008D	1_C01_bc2050_008D.bam	true
009D	1_B01_bc2051_009D.bam	true
010D	1_D01_bc2052_010D.bam	true
011D	1_D01_bc2053_011D.bam	true
012D	1_D01_bc2054_012D.bam	true
013A	1_A01_bc2055_013A.bam	true
014A	1_A01_bc2056_014A.bam	true
015D	1_B01_bc2057_015D.bam	true
016A	1_B01_bc2058_016A.bam	true
017C	1_C01_bc2059_017C.bam	true
018C	1_D01_bc2060_018C.bam	true
